compound|predicate|object|pmid
drug|administered_to|obese mice|23444782
AST|predisposes|hepatic injury|23444782
Glucagon-like peptide 1 receptors|part_of|tissues|24477544
exenatide|treats|mice|24477544
Exenatide|coexists_with|Glp1r|24477544
amylase|isa|lipase|24477544
Exenatide|neg_coexists_with|Glp1r|24477544
glucose|coexists_with|Glp1r|24477544
insulin|compared_with|HLC|24477544
insulin|coexists_with|Glp1r|24477544
toxin|compared_with|oral administration|12782078
okadaic acid|isa|toxin|12782078
okadaic acid|compared_with|oral administration|12782078
OA|causes|diarrhoea|12782078
transaminase|neg_affects|myocardium|12782078
YTX|affects|fibrillar|12782078
derivatives|compared_with|OA|12782078
derivatives|lower_than|OA|12782078
Exendin-4|stimulates|glucagon-like peptide (GLP) receptor|16374859
glucagon-like peptide (GLP) receptor|augments|insulin secretion|16374859
Exendin-4|treats|hepatic steatosis|16374859
Exendin-4|treats|mice|16374859
Exendin-4|part_of|mice|16374859
Exendin-4|associated_with|oxidative stress|16374859
fatty acid|coexists_with|genes|16374859
Na+/K+-ATPase|interacts_with|toxin|21333670
interleukin-8|predisposes|myocardial injury|12011799
IL-8|associated_with|pathogenesis|12011799
acetylcholinesterase (AChE) inhibitory|interacts_with|fasciculin-2|2087485
muscarinic receptor|interacts_with|quinuclidinyl benzilate|2087485
muscarinic receptor|interacts_with|oxotremorine|2087485
K+-ATPase|part_of|cell membranes|9792167
analgesics|treats|neuropathic pain|14529519
drug|treats|neuropathic pain|14529519
cytokines|affects|myocardial cells|15687982
serotonin|stimulates|calcium ion|2116797
mastoparan|stimulates|serotonin|2116797
mastoparan|stimulates|pertussis toxin|2116797
Mastoparan|isa|wasp venom|2116797
wasp venom|stimulates|GTP-binding proteins|2116797
Mastoparan|stimulates|GTP-binding proteins|2116797
opioid receptors|augments|transduction|19940980
omega-conotoxin GVIA|causes|analgesic effects|19940980
MOR|augments|transduction|19940980
heterotrimeric G proteins|affects|protein kinase (MAPK) activation|9835628
heterotrimeric G proteins|affects|cytokine production|9835628
signaling molecules|part_of|intracellular|9835628
insulin|augments|gene transcription|14529486
G protein-coupled receptors|part_of|pancreatic beta-cells|14529486
GLP-1|augments|pancreatic islets|14529486
GLP-1|augments|cell death|14529486
GLP-1|augments|apoptosis|14529486
dipeptidyl peptidase IV|inhibits|GLP-1|14529486
GLP-1|interacts_with|serum albumin|14529486
Exendin-4|isa|peptide|14529486
GPCR|part_of|cell|14529486
therapeutic agents|treats|diabetes mellitus|14529486
potassium|interacts_with|drugs|15028774
potassium|interacts_with|neurotransmitters|15028774
protein-gated K|part_of|spinal cord|15028774
G-protein|neg_part_of|dorsal horn|15028774
protein-gated K|affects|nociception|15028774
protein-gated K|predisposes|analgesia|15028774
GLP-1 receptor|affects|carbohydrate metabolism|16202636
GLP-1|inhibits|glucagon|16202636
GLP-1|associated_with|type 2 diabetes|16202636
GLP-1|associated_with|pathogenesis|16202636
GLP-1|stimulates|GLP-1 receptor|16202636
glucagon-like peptide-1|associated_with|pathogenesis|16202636
gabapentin|treats|hypersensitivity|17325515
G protein|interacts_with|gabapentin|17325515
gabapentin|augments|noradrenergic|17325515
gabapentin|prevents|postoperative pain|17325515
Gabapentin|augments|noradrenergic|17325515
Insulin Glargine|inhibits|glucose|20494360
Insulin Glargine|inhibits|MDA|20494360
Insulin Glargine|inhibits|FFA|20494360
Exenatide|coexists_with|MDA|20494360
GLP-1|affects|myocardium|22650224
GLP-1|augments|cardiac function|22650224
GLP-1|associated_with|ischemic/reperfusion injury|22650224
GLP-1|affects|cardiac function|22650224
metabolite|neg_interacts_with|GLP-1 receptor|22650224
GLP-1|affects|heart|22650224
NNAV|inhibits|malondialdehyde|23228832
NNAV|inhibits|transforming growth factor-beta1|23228832
NNAV|associated_with|DN|23228832
venom|causes|Anaphylactic shock|22890734
morphine|treats|mice|22960549
peptide|affects|splanchnic circulation|2927238
physalaemin|affects|blood flow|2927238
physalaemin|affects|splanchnic circulation|2927238
FIIa|interacts_with|fibrinogen|15916735
toxin|causes|severe pain|2231840
venom|isa|toxin|2231841
synthetic peptide|causes|antibody formation|19576255
exenatide|neg_causes|hypersensitivity reactions|19576255
anti-exenatide antibody|neg_augments|TEAEs|19576255
Antivenin|treats|coagulopathy|9452286
antivenin|part_of|Agkistrodon halys|17914147
antivenin|isa|treatment|17914147
antivenin|treats|bites|17914147
catecholamine|causes|myocardial ischemia|2260099
heparin|treats|rabbits|7555240
heparin|interacts_with|aspirin|7555240
heparin|interacts_with|heparin|7555240
VV|disrupts|platelet aggregation|7555240
heparin|interacts_with|VV|7555240
heparin|treats|acute coronary syndromes|7555240
venom|disrupts|tumor growth|10944460
salmosin|associated_with|tumor cell metastasis|10944460
RGD|disrupts|cell adhesion|10944460
salmosin|part_of|Recombinant|10944460
salmosin|part_of|E. coli|10944460
collagen|part_of|melanoma cells|10944460
disintegrin|associated_with|melanoma cell metastasis|10944460
fibrinogen|part_of|rats|15844712
thromboxane B2|part_of|rats|15844712
snake venom|associated_with|fibrotic rat liver|15844712
desmin|stimulates|vimentin|9314534
antivenom|interacts_with|venom|11525706
antivenom|treats|snakebite|11525706
CroFab|isa|antivenom|15800419
CroFab|treats|humans|15800419
antivenom|treats|children|15800419
antivenom|treats|adults|15800419
CroFab|treats|children|15800419
CroFab|treats|adults|15800419
Antivenom|treats|snakebites|15800419
CroFab|isa|Crotalidae polyvalent immune Fab|19606002
antivenoms|treats|snake bite|19606002
Crotalidae polyvalent immune Fab|treats|snake bite|19606002
Crotalidae polyvalent immune Fab|compared_with|antivenoms|19606002
CroFab|part_of|patients|19606002
antivenin|isa|treatment|21740134
histamine|coexists_with|favour|10931125
IL-1beta|stimulates|NF-kappaB|23587180
p38-MAPK|augments|phosphorylation|23710144
MMP-9 protein|interacts_with|JNK|23710144
venom|interacts_with|acetylcholine receptor|24087853
chitosan|treats|central nervous system (CNS) disorders|24087853
antivenin|isa|treatment|11990168
antivenin|isa|management|11990168
antivenin|treats|aspiration pneumonitis|11990168
antivenom|administered_to|patients|17710993
antivenom|treats|patients|20637219
venom|isa|toxins|20637219
d-tubocurarine|treats|rats|6822252
alpha-Naja naja toxin|part_of|Naja naja|6822252
calmodulin|augments|conformational changes|15180477
apamin|isa|toxins|15180477
scyllatoxin|isa|toxins|15180477
apamin|augments|excitability|15180477
Exendin-4|treats|humans|18829977
exendin-4|part_of|animals|18829977
Exendin-4|stimulates|glucagon-like peptide 1 receptor|18829977
sea anemone venom|part_of|dogs|21682750
FGF21|part_of|hepatic|21956711
FGF21|produces|FGF21|21956711
FGF21|produces|fibroblast growth factor (FGF)21|21956711
exenatide|interacts_with|FGF21|21956711
AMP-activated protein kinase|part_of|hepatic|21956711
exendin-4|inhibits|triacylglycerol|21956711
triacylglycerol|inhibits|FGF21|21956711
mRNA|interacts_with|AMP-activated protein kinase|21956711
FGF21|associated_with|type 2 diabetes mellitus|21956711
FGF21|part_of|Hepatic|21956711
FGF21|augments|AMPK phosphorylation|21956711
fibroblast growth factor 21|part_of|hepatic|21956711
fibroblast growth factor 21|associated_with|disease|21956711
fibroblast growth factor 21|associated_with|non-alcoholic fatty liver|21956711
Exenatide|inhibits|fibroblast growth factor 21|21956711
apamin|affects|neurons|9092604
channel blockers|augments|excitability|9092604
small-conductance calcium-activated potassium channel|associated_with|brain oedema|15379997
antidepressant|treats|mouse|17761162
agmatine|stimulates|antidepressant|17761162
tetraethylammonium|treats|mice|17761162
apamin|interacts_with|agmatine|17761162
agmatine|neg_affects|locomotion|17761162
antidepressant|interacts_with|agmatine|17761162
agmatine|affects|excitability|17761162
potassium channels|interacts_with|antidepressant|17761162
mAb|part_of|mouse|2522969
transferrin receptors|part_of|mouse|2522969
gastrin-releasing peptide|affects|gastric acid secretion|2623192
gastrin-releasing peptide|isa|neuropeptide|2623192
NaCl|part_of|rat|2623192
antiserum|affects|acid secretion|2623192
GRP|isa|neuropeptide|2623192
lead compounds|treats|neurological diseases|16979678
lead compounds|treats|multiple sclerosis|16979678
lead compounds|treats|diabetic neuropathy|16979678
lead compounds|treats|shingles|16979678
nicotinic acetylcholine receptors|augments|sensory nerves|16979678
conotoxins|interacts_with|nicotinic acetylcholine receptor|16979678
neuropeptides|isa|hormones|18377785
palytoxin|causes|rhabdomyolysis|9617874
palytoxin|causes|Rhabdomyolysis|9617874
corticosteroids|treats|patient|19545971
histamine antagonist|treats|patient|19545971
sodium-potassium ATPase|isa|adenosinetriphosphatase|19545971
marine toxin|interacts_with|sodium-potassium ATPase|19545971
PTX|associated_with|disease|23702624
enzymes|causes|cell damage|2800879
Adder venom|causes|pancreatitis|2800879
viper venom|affects|pathogenesis|3317538
adder venom|part_of|Armenian|16373073
viper venom|causes|symptoms|21959940
viper venom|interacts_with|fluorophores|22659142
venom|interacts_with|fluorophores|22659142
GRGDS|inhibits|Cerastes cerastes venom|15072239
integrins|part_of|cancerous cells|15072239
insect venom|predisposes|anaphylaxis|10909168
specific antigen|part_of|leukocytes|11878133
Epinephrine|treats|children|12618751
Epinephrine|treats|adults|12618751
insect venom|part_of|basophils|17335884
RNA|associated_with|allergy|20334904
Medications|causes|anaphylaxis|23529459
anaesthetic drugs|isa|Medications|23529459
opiates|isa|Medications|23529459
nonsteroidal anti-inflammatory drugs|isa|Medications|23529459
anaesthetic drugs|causes|anaphylaxis|23529459
nonsteroidal anti-inflammatory drugs|causes|anaphylaxis|23529459
opiates|causes|anaphylaxis|23529459
exendin-4|administered_to|rats|10027577
incretin mimetic agent|augments|insulin secretion|16484515
Exenatide|treats|type 2 diabetes mellitus|16484515
Exenatide|treats|patients|16484515
Exenatide|isa|protein|16529340
exenatide|treats|type 2 diabetes mellitus|16529340
exenatide|treats|patients|16529340
exenatide|compared_with|placebo|16529340
glucagon|augments|insulin secretion|16529340
glucagon|inhibits|gastric emptying|16529340
Exenatide|disrupts|food intake|16529340
Incretins|augments|insulin secretion|17109672
glucagon|inhibits|gastric emptying|17109672
glucagon-like peptide-1|neg_augments|insulin secretion|17109672
Exenatide|isa|peptide|17109672
GLP-1|stimulates|GLP-1 receptor|17109672
glucose|treats|diabetic|17109672
glucose|treats|patients|17109672
exenatide|treats|diabetic|17109672
exenatide|treats|patients|17109672
Exenatide|associated_with|type 2 diabetes|17109672
exendin-4|part_of|Gila monster|20979668
glucose|treats|diabetic|20979668
glucose|treats|patients|20979668
exenatide|inhibits|glucose|20979668
insulin|disrupts|hypoglycaemic episodes|20979668
analogues|treats|hyperglycaemia|20979668
analogues|treats|critically ill|20979668
drugs|treats|cancer|18516973
drugs|treats|cancer pain|18516973
gabapentin|treats|neuropathic pain|18516973
ziconotide|isa|drugs|18516973
ziconotide|treats|neuropathic pain|18516973
Ziconotide|isa|nonopioid intrathecal analgesic|20639730
ziconotide|coexists_with|drugs|20639730
ziconotide|neg_affects|respiratory depression|20639730
ziconotide|neg_affects|bradycardia|20639730
ziconotide|causes|analgesia|20639730
Applaggin|interacts_with|glycoprotein IIb/IIIa receptor|8246155
Applaggin|stimulates|binding sites|8246155
applaggin|prevents|carotid artery thrombosis|8246155
regular human insulin|part_of|human|19193822
lispro|compared_with|regular human insulin|19193822
lispro|higher_than|regular human insulin|19193822
insulin|causes|hypoglycemia|19193822
glargine|compared_with|neutral protamine Hagedorn insulin|19193822
glargine|higher_than|neutral protamine Hagedorn insulin|19193822
glycated hemoglobin|part_of|patients|19193822
human insulins|prevents|hypoglycemia|19193822
Opioids|stimulates|adrenoceptor|12172710
voltage-gated calcium channels|affects|parameters|12172710
drugs|treats|rats|12172710
clonidine|inhibits|MAP|12172710
verapamil|inhibits|MAP|12172710
PYY|disrupts|food intake|20559304
exendin-4|disrupts|food intake|20559304
gut hormones|interacts_with|exenatide|21632815
Exenatide|treats|type 2 diabetes|21632815
exenatide|treats|PWS|21632815
C-peptide|isa|insulin|21632815
PYY|treats|patients|21632815
Exenatide|inhibits|PYY|21632815
exenatide|treats|patients|21632815
hormones|affects|PWS|21632815
fusion proteins|interacts_with|E. coli|21793303
analgesic|treats|mice|21793303
venom|causes|lung edema|14727383
venom|causes|cardiac failure|14727383
venom|compared_with|injection|14727383
glutamate|neg_coexists_with|valine|14727383
amino acids|treats|people|14992323
amino acids|treats|diabetes|14992323
amylin|part_of|human|14992323
agonist|administered_to|rats|15879053
Exendin-4|causes|hyperglycemia|15879053
glucagon|isa|insulin|15879053
Ex-4|interacts_with|glucose|15879053
Ex-4|interacts_with|fatty acid|15879053
snake venom|disrupts|platelet aggregation|8788436
Triflavin|interacts_with|fibrinogen|8788436
triflavin|treats|rats|8788436
triflavin|treats|arterial thrombosis|8788436
disintegrin|disrupts|tumor growth|12076080
salmosin|associated_with|PCO|12076080
salmosin|disrupts|LECs|12076080
salmosin|treats|PCO|12076080
disintegrin|interacts_with|salmosin|12076080
cilengitide|part_of|Rats|21512659
cilengitide|treats|bone metastases|21512659
tumor necrosis factor-alpha|interacts_with|MMP-9|23435195
RGD|part_of|recombinant|23435195
venom|part_of|Animals|6129332
scorpion venom|causes|acute myocarditis|6129332
scorpion Buthus martensi Karch (BmK) venom|causes|edema|18619501
venom|causes|edema|18619501
venom|causes|hyperalgesia|19782067
angiotensin II receptor antagonist|isa|drugs|20686848
exenatide|causes|contraction|20686848
exenatide|inhibits|angiotensin II|20686848
exenatide|inhibits|diuretics|20686848
incretin hormones|affects|glucose homeostasis|19073224
exendin-4|interacts_with|incretins|19073224
analogues|treats|glucose intolerance|19073224
Antidiabetic|interacts_with|GIP receptor|19073224
pathogenic factors|augments|diabetes|19074620
GIP|neg_affects|insulin secretion|19074620
GLP-1|associated_with|T2DM|19074620
GLP-1|stimulates|GLP-1 receptor|19074620
exenatide|stimulates|GLP-1 receptor|19074620
Exenatide|inhibits|blood glucose|19074620
DPP4 inhibitors|stimulates|incretins|19074620
incretins|affects|glucose homeostasis|19074620
incretins|affects|diabetes|19074620
Epinephrine|isa|treatment|16266376
Epinephrine|treats|acute anaphylaxis|16266376
epinephrine|treats|anaphylaxis|16266376
venom specific IgE|coexists_with|OPN|17130676
OPN|affects|immune response|17130676
apamin|affects|lungs|8560501
apamin|disrupts|paradoxical sleep|8930341
apamin|disrupts|slow sleep|8930341
apamin|causes|Sleep cycle disturbances|8930341
apamin|inhibits|calcium-activated potassium channels|11165532
calcium-activated potassium channels|disrupts|myotonia|11165532
drugs|augments|atrial effective refractory period|21394037
small conductance calcium-activated potassium) channel|affects|long term potentiation|22983217
Nf1|compared_with|Nf1|22983217
calcium|stimulates|potassium|22983217
calcium|interacts_with|apamin|22983217
Venom|administered_to|rats|3257850
venom|administered_to|mice|16446169
venom|part_of|mice|16446169
mouse rat monoclonal antibody|part_of|rat|16446169
mRNA|part_of|cells|16446169
venom|part_of|Neutrophils|16446169
antivenom|treats|poisonings|12841560
antivenom|administered_to|patients|23289356
antivenom|treats|snake-bite envenomation|3367819
antivenom|isa|treatment|3367819
anticholinesterase|treats|bites|3367819
transcriptional factor|stimulates|genes|15775723
angiotensin II|affects|protection|15775723
AII|treats|rats|15775723
AII|treats|GN|15775723
dendrotoxin|part_of|rats|3629616
dendrotoxin|causes|signs|3629616
Dendrotoxin|isa|toxin|3629616
venom|converts_to|KV1.6 potassium channels|12733854
venom|converts_to|Dendrotoxin|12733854
F(ab|part_of|equine|8283161
antivenom|treats|Patients|8283161
antivenom|neg_treats|patients|8283161
antivenom|administered_to|patients|8283161
antivenom|administered_to|patient|15521621
antivenom|part_of|equine|15521621
antivenom|part_of|sheep|15521621
antivenom|treats|patients|16496490
F(ab|part_of|equine|16496490
antivenom|treats|toxic effects|19681776
antivenin|treats|dogs|24102941
F(ab|part_of|dogs|24102941
corticosteroids|treats|dogs|24102941
exenatide|part_of|patient|19703814
exenatide|associated_with|pancreatitis|19703814
liraglutide|associated_with|pancreatitis|21487080
liraglutide|causes|pancreatitis|21487080
Liraglutide|treats|patients|21487080
exenatide|treats|diabetes mellitus|22068258
exenatide|affects|acute necrotizing pancreatitis|22068258
amylase|treats|patients|22440997
amylase|treats|type 2 diabetes|22440997
lipase|treats|patients|22440997
agonists|administered_to|patients|22440997
peptidase-4 inhibitors|administered_to|patients|22440997
pancreatic amylase|isa|amylase|22589391
pancreatic amylase|predisposes|pancreatitis|22589391
amylase|predisposes|pancreatitis|22589391
liraglutide|part_of|ZDF rats|22589391
exenatide|augments|amylase activity|22589391
liraglutide|augments|amylase activity|22589391
agonists|neg_affects|exocrine pancreas|22589391
myeloperoxidase|part_of|rats|22836857
exenatide|part_of|rats|22836857
myeloperoxidase|compared_with|exenatide|22836857
exenatide|treats|rats|22836857
venom|augments|excitability|3627455
toxins|coexists_with|venom|9209224
antivenom|treats|victims|9209224
antivenin|part_of|Crotalid|11348818
Dendroaspis natriuretic peptide|affects|renal function|11906482
DNP|affects|excretion|11906482
DNP|augments|renal water excretion|11906482
Dendroaspis natriuretic peptide|augments|renal water excretion|11906482
CNP|isa|NP|19395584
NP|associated_with|heart failure|19395584
natriuretic peptides|affects|renal|20178049
peptide receptors|stimulates|cyclic guanosine monophosphate|20178049
natriuretic peptide|treats|heart failure|20178049
cyclooxygenase inhibitor|inhibits|hypotension|7846692
prostacyclin|affects|hypotensive|7846692
prostaglandins|affects|hypotensive|7846692
cyclooxygenase inhibitor|neg_affects|leukopenia|7846692
cyclooxygenase inhibitor|neg_affects|thrombocytopenia|7846692
5-lipoxygenase inhibitor|neg_affects|leukopenia|7846692
5-lipoxygenase inhibitor|neg_affects|thrombocytopenia|7846692
nitric oxide synthase|causes|allodynia|18440503
ziconotide|treats|sensitivity|18440503
antivenom|isa|antibody|3833008
Hymenoptera venom|causes|complications|3833008
Epinephrine|isa|treatment|12825843
Epinephrine|treats|acute anaphylaxis|12825843
venom-specific IgE|isa|antibodies|12825843
epinephrine|treats|hypersensitivity (SIH) reactions|20642208
epinephrine|treats|patients|20642208
epinephrine|uses|epinephrine|20642208
epinephrine|isa|treatments|20642208
antihistamines|administered_to|patients|20642208
epinephrine|administered_to|patients|20642208
injectable epinephrine|treats|patients|20642208
epinephrine|treats|hypersensitivity reactions|20642208
spider venom|part_of|wolf|22441089
spider venom|affects|necrotic arachnidism|22441089
muscle relaxants|coexists_with|Opioid analgesics|22352727
Antivenom|treats|symptom|22352727
snake antivenom|administered_to|patients|7573709
snake antivenom|administered_to|victims|15911942
SAV|treats|patients|15911942
snake antivenom|treats|patients|15911942
SAV|prevents|complications|18356348
antigenic|part_of|nematocyst|6144703
Ziconotide|isa|calcium channel blocker|11060815
ziconotide|treats|chronic pain|11060815
ziconotide|causes|analgesia|11060815
ziconotide|treats|pain|11060815
nonopioid|treats|chronic pain|16845440
ziconotide|coexists_with|ziconotide|16845440
ziconotide|interacts_with|morphine|16845440
Ziconotide|treats|refractory pain|16845440
glucagon|augments|insulin secretion|17566392
enzyme|interacts_with|GLP-1|17566392
liraglutide|isa|GLP-1|17566392
glucagon|inhibits|gastric emptying|17662202
GLP-1 receptors|stimulates|insulin|17662202
drug|treats|type 2 DM|17662202
exenatide|affects|weight loss|18500914
Pramlintide|causes|hypoglycemia|18500914
insulin|compared_with|agents|18500914
exenatide|compared_with|agents|19719703
exenatide|compared_with|placebo|19719703
exenatide|inhibits|HbA|19719703
gastrointestinal hormones|affects|glucose homeostasis|20465123
GLP-1|interacts_with|incretin|20465123
GLP-1|affects|insulin secretion|20465123
GLP-1 receptors|interacts_with|incretin|20465123
agonists|coexists_with|GLP-1 receptor|20465123
Analogues|treats|type 2 diabetes|22158422
glucagon-like peptide-1|affects|appetite|22158422
Liraglutide|stimulates|GLP-1 receptor|22725703
drugs|compared_with|drugs|22853443
liraglutide|isa|drugs|22853443
liraglutide|compared_with|drugs|22853443
drugs|isa|liraglutide|22853443
liraglutide|compared_with|liraglutide|22853443
insulin glargine|associated_with|type 2 diabetes|22853443
exenatide|associated_with|type 2 diabetes|22853443
insulin glargine|compared_with|exenatide|22853443
insulin glargine|part_of|People|22853443
liraglutide|compared_with|rosiglitazone|22853443
exenatide|part_of|People|22853443
exenatide|isa|drugs|22853443
liraglutide|compared_with|exenatide|22853443
liraglutide|isa|drug|22853443
liraglutide|interacts_with|liraglutide|22853443
drug|interacts_with|liraglutide|22853443
liraglutide|compared_with|treatments|22853443
liraglutide|higher_than|treatments|22853443
medication|administered_to|cohorts|23697475
medication|administered_to|control groups|23697475
medication|treats|T2DM|23697475
medication|administered_to|members|23697475
insulin|treats|T2DM|23697475
medication|administered_to|individuals|23697475
medication|administered_to|member|23697475
exenatide|stimulates|Glucagon-Like Peptide-1 (GLP-1) receptors|24923102
HbA|compared_with|exenatide|24923102
glargine|isa|basal insulin|24923102
antihistamines|isa|medications|11235817
medications|treats|symptoms|11235817
histamine H1 receptor antagonists|isa|antihistamines|11235817
antihistamines|treats|symptoms|11235817
histamine H1 receptor antagonists|treats|children|11235817
histamine H1 receptor antagonists|treats|adults|11235817
drugs|causes|sedation|11235817
drugs|causes|cardiotoxicity|11235817
antidote|neg_treats|overdose|11235817
cetirizine|treats|sedation|11235817
antihistamines|treats|children|11235817
strychnine|isa|drug|16457861
neurotransmitter|part_of|brain|16457861
venom|part_of|cell|6301872
venom|interacts_with|sodium channels|6301872
antivenom|treats|children|14705838
Antivenom|administered_to|patients|14705838
antivenom|administered_to|toddlers|14705838
antivenom|administered_to|patients|14705838
antivenom|isa|therapies|23283277
antivenom|uses|antivenom|23283277
antivenom|treats|patients|23283277
C-reactive protein|isa|acute phase serum protein|6363539
C-reactive protein|interacts_with|polysaccharide|6363539
acute phase serum protein|interacts_with|polysaccharide|6363539
CRP|part_of|mice|6363539
CRP|augments|splenic|6363539
CRP|interacts_with|particulate PnC antigens|6363539
PC|treats|mice|6363539
T-independent antigen|neg_affects|antibody response|6363539
PC|interacts_with|particulate antigen|6363539
CRP|disrupts|antibody response|6363539
C-reactive protein|disrupts|antibody responses|6363539
Loxosceles deserta venom|part_of|hindlimb|7975131
antivenom|administered_to|patients|9861376
enzymes|affects|hydrolysis|19689415
enzymes|coexists_with|glycerophospholipids|19689415
leukotrienes|interacts_with|lipid mediators|19689415
prostaglandin|interacts_with|lipid mediators|19689415
enzymes|associated_with|tumor|19689415
silk|coexists_with|medicine|21658450
medication|treats|hyperglycemia|18266113
Exenatide|isa|medication|18266113
Exenatide|associated_with|type 2 diabetes|18266113
Exenatide|treats|hyperglycemia|18266113
anti-hyperglycemic agent|treats|patients|18266113
exenatide|treats|patients|18266113
exenatide|treats|type 2 diabetes|18266113
exenatide|treats|Asian|18266113
Exenatide|inhibits|blood glucose|18093209
Exenatide|prevents|insulin resistance|18093209
Hymenoptera Venom|treats|insect sting allergy|11720652
Vespula venom|causes|adverse effects|16892788
venom|inhibits|IgE|17441797
tryptase|associated_with|anaphylaxis|20485157
venom|affects|platelet aggregation|7080054
venom|affects|fibrinolysis|7080054
tGLP-1|inhibits|blood glucose|15240633
exendin-4|treats|volunteers|15240633
exendin-4|treats|type 1 diabetes|15240633
insulin|inhibits|glucagon|15240633
insulin|associated_with|type 1 diabetes|15240633
opioid|treats|severe chronic pain|15578997
ziconotide|isa|analgesics|15578997
ziconotide|treats|patients|15578997
ziconotide|isa|drugs|15578997
calcium channel blocker|treats|severe chronic pain|15578997
oral morphine|neg_treats|severe pain|19530373
morphine|treats|patients|19530373
morphine|treats|pain|19530373
tricyclic|treats|patients|19530373
antiepileptic drugs|treats|patients|19530373
ziconotide|treats|pain|19530373
ziconotide|treats|patients|19530373
ziconotide|compared_with|morphine|19530373
antiepileptic drugs|treats|neurogenic pain|19530373
tricyclic|treats|neurogenic pain|19530373
ziconotide|compared_with|placebo|19530373
ziconotide|augments|pain|19530373
ziconotide|associated_with|neurogenic pain|19530373
incretin|treats|patients|17292977
incretin|treats|type 2 diabetes|17292977
Exenatide|stimulates|GLP-1 receptor|17292977
GLP-1|stimulates|adenylate cyclase|17292977
glucose|treats|diabetic|17292977
glucose|treats|mice|17292977
insulin|treats|mice|17292977
exenatide|interacts_with|GLP-1 receptor|17292977
Ziconotide|inhibits|N-type voltage-sensitive calcium channels|14709577
ziconotide|treats|pain|14709577
ziconotide|treats|patients|14709577
ziconotide|administered_to|Patients|14709577
ziconotide|administered_to|patients|14709577
ziconotide|treats|refractory pain|14709577
anatoxin|administered_to|patient|16225115
acetylcholine antagonists|treats|rodent pain models|16539838
opioid|associated_with|analgesia|16539838
cholinergic system|associated_with|analgesia|16539838
naloxone|inhibits|analgesic effects|16539838
Atropine|inhibits|analgesic effects|16539838
cobra venom|causes|analgesia|16539838
analgesic|treats|chronic intractable pain|16599651
ziconotide|compared_with|placebo|16599651
ziconotide|higher_than|placebo|16599651
Ziconotide|treats|withdrawal symptoms|16703976
non-opioid analgesic|treats|chronic pain|18050098
drug|treats|patients|18050098
Ziconotide|treats|neuropathic pain|18050098
opioid|isa|drug|18227325
drug|treats|severe chronic pain|18227325
opioid|treats|severe chronic pain|18227325
Ziconotide|treats|severe chronic pain|18227325
Ziconotide|isa|drug|18227325
ziconotide|administered_to|patients|18227325
ziconotide|treats|patients|18227325
ziconotide|treats|refractory chronic pain|18227325
ziconotide|treats|severe chronic pain|18227325
morphine|treats|patients|18366507
morphine|treats|pain|18366507
morphine|treats|severe chronic pain|18366507
ziconotide|treats|patients|18366507
ziconotide|treats|patients|18366508
ziconotide|administered_to|Patients|18366508
ziconotide|coexists_with|morphine|18366508
morphine|treats|patients|18366508
ziconotide|administered_to|patients|18366508
ziconotide|treats|severe chronic pain|18366508
conotoxins|associated_with|cancer|18781995
conotoxins|associated_with|psychiatric disorders|18781995
Ziconotide|isa|conotoxin|19034250
calcium channels|disrupts|perception|19034250
drug|treats|severe chronic pain|19034250
drug|treats|chronic pain|19034250
ziconotide|treats|severe chronic pain|19668287
ziconotide|treats|intractable pain|19668287
opioid|treats|patients|19668287
opioid|treats|refractory chronic pain|19668287
ziconotide|treats|patients|19668287
ziconotide|treats|refractory chronic pain|19668287
ziconotide|treats|pain|19668287
ziconotide|isa|analgesics|19740270
opioid|isa|drugs|19740270
drug|treats|chronic pain|19740270
drug combinations|treats|chronic pain|19740270
nonopioid intrathecal analgesic|isa|drug|22082570
Ziconotide|isa|drug|22082570
morphine|treats|pain|22082570
opioids|coexists_with|morphine|22082570
ziconotide|treats|pain|22082570
opioids|coexists_with|ziconotide|22082570
morphine|treats|refractory cancer pain|22082570
ziconotide|treats|refractory cancer pain|22082570
Ziconotide|isa|analgesic agent|22996851
ziconotide|affects|adverse events|22996851
ziconotide|inhibits|adverse events|22996851
drug|affects|adverse events|22996851
ziconotide|treats|refractory cancer pain|22996851
magnesium|inhibits|analgesic|23039299
magnesium|administered_to|Patients|23039299
magnesium|compared_with|placebo|23039299
Ziconotide|treats|chronic pain|23537340
ziconotide|isa|drugs|23537340
non-opioid intrathecal analgesic|treats|patients|23999971
non-opioid intrathecal analgesic|treats|chronic pain|23999971
ziconotide|isa|non-opioid intrathecal analgesic|23999971
ziconotide|treats|patients|23999971
ziconotide|treats|patients|23999971
ziconotide|treats|refractory noncancer-related pain|23999971
ziconotide|treats|cancer|23999971
ziconotide|administered_to|patients|23999971
ziconotide|treats|severe, unremitting pain|23999971
ziconotide|treats|chronic pain|23999971
yessotoxin|interacts_with|toxins|11602282
Yessotoxin|compared_with|intraperitoneal injections|11602282
venom|causes|acute myocardial infarction|8752202
antivenin|treats|patient|9663693
antivenin|part_of|Vipera palaestinae|9663693
antivenin|treats|patients|9663693
venom|part_of|sciatic nerve|16328169
venom|part_of|animals|16328169
venom|affects|nerve damage|16328169
integrins|affects|cell adhesion|19502781
collagen receptors|affects|adhesion|19502781
integrin|affects|cells|19502781
alpha1beta1 integrin|affects|cells|19502781
edrophonium|treats|patients|7570895
drugs|treats|patients|7570895
antivenom|treats|bleeding|7611559
